Interview number (ongoing),Serial number (if provided),Reference (if provided in link),Questionnaire that has been used in the interview,Interview mode,Language,Time the interview has started (Europe/Berlin),"Random Generator: Complete clearances of the ballot, yet",Random Generator: Code drawn,starost: [01],pol,mesto_opstina,mesto_osn: [01],etnicitet,etnicitet: Drugo,country,država: Drugo,obrazovanje,obrazovanje_oca,obrazovanje_majke
1035,0,0,base,interview,hrv,45185.74,0,1,20,2,Vukovar,Vukovar,3,0,3,0,3,3,5
1038,0,0,base,interview,hrv,45186.09,0,2,20,1,Osijek,Osijek,3,0,3,0,3,4,4
1040,0,0,base,interview,hrv,45186.09,0,1,20,1,Osijek,Osijek,3,0,3,0,3,4,4
1043,0,0,base,interview,hrv,45186.09,0,1,20,1,Osijek,Osijek,3,0,3,0,3,4,4
1045,0,0,base,interview,hrv,45186.24,0,2,21,2,Orašje,Orašje,3,0,1,0,3,4,2
1047,0,0,base,interview,hrv,45186.56,0,1,20,2,Osijek,Požega,3,0,3,0,3,3,5
1050,0,0,base,interview,hrv,45188.74,0,1,42,1,Zagreb,Zagreb,3,0,3,0,5,4,5
1053,0,0,base,interview,hrv,45188.76,0,2,40,1,Jastrebarsko,Jastrebarsko,3,0,3,0,3,3,3
1055,0,0,base,interview,hrv,45188.76,0,2,30,2,Zagreb,Šemovec,3,0,3,0,4,3,4
1058,0,0,base,interview,hrv,45188.76,0,2,43,2,Zagreb,Zagreb,3,0,3,0,5,2,4
1063,0,0,base,interview,hrv,45188.76,0,2,48,2,Zagreb,Blato na Korčuli,3,0,3,0,5,3,4
1065,0,0,base,interview,hrv,45188.76,0,1,43,2,Zagreb,Ljubljana,6,Slovenka,3,0,4,5,4
1066,0,0,base,interview,srp,45188.76,0,2,33,1,Beograd,Užice,5,0,4,0,5,3,3
1069,0,0,base,interview,hrv,45188.77,0,1,20,2,Đakovo,Đakovo,3,0,3,0,3,3,3
1072,0,0,base,interview,hrv,45188.78,0,2,20,2,Osijek,Osijek,3,0,3,0,3,4,4
1075,0,0,base,interview,hrv,45188.79,0,2,28,2,Zagreb,Petrijanec,3,0,3,0,5,3,3
1076,0,0,base,interview,hrv,45188.79,0,2,35,2,Osijek,Osijek,3,0,3,0,5,4,3
1079,0,0,base,interview,hrv,45188.79,0,2,34,1,Zagreb,Delnice,3,0,3,0,4,3,3
1082,0,0,base,interview,hrv,45188.79,0,2,28,2,Zagreb,Zadar,3,0,3,0,4,3,4
1085,0,0,base,interview,hrv,45188.79,0,2,40,1,Zagreb,Čakovec,3,0,3,0,5,3,3
1088,0,0,base,interview,hrv,45188.8,0,1,34,2,zagreb,dubrovnik,5,0,3,0,4,3,3
1089,0,0,base,interview,hrv,45188.8,0,2,45,1,Zagreb,Zagreb,3,0,3,0,3,4,4
1091,0,0,base,interview,hrv,45188.8,0,1,46,2,Zagreb,Split,3,0,3,0,5,4,4
1093,0,0,base,interview,hrv,45188.81,0,1,23,1,Zagreb,Zagreb,3,0,3,0,3,4,4
1096,0,0,base,interview,hrv,45188.82,0,1,31,1,Zagreb,Zagreb,5,0,3,0,4,4,4
1097,0,0,base,interview,hrv,45188.82,0,1,34,2,Zagreb,Zagreb,3,0,3,0,4,4,4
1099,0,0,base,interview,hrv,45188.83,0,2,53,2,Zagreb,Zagreb,3,0,3,0,4,4,3
1101,0,0,base,interview,hrv,45188.83,0,2,41,2,Zagreb,Zagreb,3,0,3,0,5,5,5
1103,0,0,base,interview,hrv,45188.84,0,2,46,2,Zagreb,Dubrovnik,3,0,3,0,4,4,3
1107,0,0,base,interview,hrv,45188.86,0,1,30,1,Sisak,Sisak,5,0,3,0,4,4,4
1110,0,0,base,interview,hrv,45188.89,0,1,31,2,"Viškovo, Primorsko-goranska",Rijeka,3,0,3,0,4,3,3
1111,0,0,base,interview,qaa,45188.89,0,2,37,2,Nikšić,Nikšić,2,0,2,0,5,3,3
1113,0,0,base,interview,srp,45188.89,0,2,73,1,Beograd,Banjaluka,4,0,4,0,4,3,3
1117,0,0,base,interview,srp,45188.92,0,2,37,1,Beograd,Beograd,4,0,4,0,5,4,4
1119,0,0,base,interview,hrv,45188.94,0,1,29,1,Zagreb,Varaždin,3,0,3,0,4,4,4
1124,0,0,base,interview,srp,45188.96,0,1,36,1,Beograd,Vlasotince,4,0,4,0,5,4,5
1127,0,0,base,interview,hrv,45189.01,0,1,46,1,X,Pula,3,0,5,X,5,3,3
1129,0,0,base,interview,hrv,45189.01,0,2,26,2,Hrvatska,Hrvatska,3,0,3,0,3,3,3
1133,0,0,base,interview,hrv,45189.31,0,1,24,1,Kastav,Matulji,3,0,3,0,4,3,4
1135,0,0,base,interview,hrv,45189.33,0,1,26,2,Zagreb,Zagreb,3,0,3,0,4,4,4
1137,0,0,base,interview,hrv,45189.34,0,2,36,2,Zagreb,Orahovica,3,0,3,0,4,3,3
1139,0,0,base,interview,hrv,45189.41,0,1,42,2,Zagreb,Čakovec,3,0,3,0,4,3,3
1141,0,0,base,interview,hrv,45189.41,0,1,30,1,Zagreb,Split,3,0,3,0,5,4,3
1145,0,0,base,interview,bos,45189.47,0,1,49,1,Sarajevo,Sarajevo,1,0,1,0,4,4,3
